Token1	Label1	Offset1	Token2	Label2	Offset2	Relation	Sentence
variants	Var	(21, 29)	cause	Reg	(171, 176)	CauseOf	RECENT FINDINGS: GOF variants are individually ultrarare, affect all domains of the protein, act to reduce LDL receptor expression through several mechanisms, are a minor cause of familial hypercholesterolemia, have been reported mainly within families, have variable LDL cholesterol-raising effects, and are associated with increased CVD risk mainly through observational studies in families and small cohorts.
familial hypercholesterolemia	Disease	(180, 209)	cause	Reg	(171, 176)	ThemeOf	RECENT FINDINGS: GOF variants are individually ultrarare, affect all domains of the protein, act to reduce LDL receptor expression through several mechanisms, are a minor cause of familial hypercholesterolemia, have been reported mainly within families, have variable LDL cholesterol-raising effects, and are associated with increased CVD risk mainly through observational studies in families and small cohorts.
variants	Var	(17, 25)	LOF	NegReg	(13, 16)	CauseOf	In contrast, LOF variants can be either ultrarare mutations or relatively more common polymorphisms seen in populations, affect all domains of the protein, act to increase LDL receptor expression through several mechanisms, have variable LDL cholesterol-lowering effects, and have been associated with decreased CVD risk mainly through Mendelian randomization studies in epidemiologic populations.
variants	Var	(17, 25)	affect	Reg	(121, 127)	CauseOf	In contrast, LOF variants can be either ultrarare mutations or relatively more common polymorphisms seen in populations, affect all domains of the protein, act to increase LDL receptor expression through several mechanisms, have variable LDL cholesterol-lowering effects, and have been associated with decreased CVD risk mainly through Mendelian randomization studies in epidemiologic populations.
affect	Reg	(121, 127)	increase	PosReg	(163, 171)	CauseOf	In contrast, LOF variants can be either ultrarare mutations or relatively more common polymorphisms seen in populations, affect all domains of the protein, act to increase LDL receptor expression through several mechanisms, have variable LDL cholesterol-lowering effects, and have been associated with decreased CVD risk mainly through Mendelian randomization studies in epidemiologic populations.
domains of the protein	Protein	(132, 154)	affect	Reg	(121, 127)	ThemeOf	In contrast, LOF variants can be either ultrarare mutations or relatively more common polymorphisms seen in populations, affect all domains of the protein, act to increase LDL receptor expression through several mechanisms, have variable LDL cholesterol-lowering effects, and have been associated with decreased CVD risk mainly through Mendelian randomization studies in epidemiologic populations.
variants	Var	(17, 25)	lowering	NegReg	(254, 262)	CauseOf	In contrast, LOF variants can be either ultrarare mutations or relatively more common polymorphisms seen in populations, affect all domains of the protein, act to increase LDL receptor expression through several mechanisms, have variable LDL cholesterol-lowering effects, and have been associated with decreased CVD risk mainly through Mendelian randomization studies in epidemiologic populations.
LDL cholesterol	MPA	(238, 253)	lowering	NegReg	(254, 262)	ThemeOf	In contrast, LOF variants can be either ultrarare mutations or relatively more common polymorphisms seen in populations, affect all domains of the protein, act to increase LDL receptor expression through several mechanisms, have variable LDL cholesterol-lowering effects, and have been associated with decreased CVD risk mainly through Mendelian randomization studies in epidemiologic populations.
variants	Var	(51, 59)	loss-of-function	NegReg	(159, 175)	CauseOf	PURPOSE OF REVIEW: There are many reports of human variants in proprotein convertase subtilisin-kexin type 9 (PCSK9) that are either gain-of-function (GOF) or loss-of-function (LOF), with downstream effects on LDL cholesterol and cardiovascular disease (CVD) risk.
CVD	Disease	(312, 315)	decreased	NegReg	(302, 311)	ThemeOf	In contrast, LOF variants can be either ultrarare mutations or relatively more common polymorphisms seen in populations, affect all domains of the protein, act to increase LDL receptor expression through several mechanisms, have variable LDL cholesterol-lowering effects, and have been associated with decreased CVD risk mainly through Mendelian randomization studies in epidemiologic populations.
variants	Var	(17, 25)	decreased	NegReg	(302, 311)	CauseOf	In contrast, LOF variants can be either ultrarare mutations or relatively more common polymorphisms seen in populations, affect all domains of the protein, act to increase LDL receptor expression through several mechanisms, have variable LDL cholesterol-lowering effects, and have been associated with decreased CVD risk mainly through Mendelian randomization studies in epidemiologic populations.
LDL receptor	Protein	(172, 184)	expression	MPA	(185, 195)	ThemeOf	In contrast, LOF variants can be either ultrarare mutations or relatively more common polymorphisms seen in populations, affect all domains of the protein, act to increase LDL receptor expression through several mechanisms, have variable LDL cholesterol-lowering effects, and have been associated with decreased CVD risk mainly through Mendelian randomization studies in epidemiologic populations.
expression	MPA	(185, 195)	increase	PosReg	(163, 171)	ThemeOf	In contrast, LOF variants can be either ultrarare mutations or relatively more common polymorphisms seen in populations, affect all domains of the protein, act to increase LDL receptor expression through several mechanisms, have variable LDL cholesterol-lowering effects, and have been associated with decreased CVD risk mainly through Mendelian randomization studies in epidemiologic populations.
PCSK9	Gene	(110, 115)	variants	Var	(51, 59)	ThemeOf	PURPOSE OF REVIEW: There are many reports of human variants in proprotein convertase subtilisin-kexin type 9 (PCSK9) that are either gain-of-function (GOF) or loss-of-function (LOF), with downstream effects on LDL cholesterol and cardiovascular disease (CVD) risk.
variants	Var	(51, 59)	effects	Reg	(199, 206)	CauseOf	PURPOSE OF REVIEW: There are many reports of human variants in proprotein convertase subtilisin-kexin type 9 (PCSK9) that are either gain-of-function (GOF) or loss-of-function (LOF), with downstream effects on LDL cholesterol and cardiovascular disease (CVD) risk.
LDL cholesterol	Disease	(210, 225)	effects	Reg	(199, 206)	ThemeOf	PURPOSE OF REVIEW: There are many reports of human variants in proprotein convertase subtilisin-kexin type 9 (PCSK9) that are either gain-of-function (GOF) or loss-of-function (LOF), with downstream effects on LDL cholesterol and cardiovascular disease (CVD) risk.
cardiovascular disease	Disease	(230, 252)	effects	Reg	(199, 206)	ThemeOf	PURPOSE OF REVIEW: There are many reports of human variants in proprotein convertase subtilisin-kexin type 9 (PCSK9) that are either gain-of-function (GOF) or loss-of-function (LOF), with downstream effects on LDL cholesterol and cardiovascular disease (CVD) risk.
variants	Var	(21, 29)	affect	Reg	(58, 64)	CauseOf	RECENT FINDINGS: GOF variants are individually ultrarare, affect all domains of the protein, act to reduce LDL receptor expression through several mechanisms, are a minor cause of familial hypercholesterolemia, have been reported mainly within families, have variable LDL cholesterol-raising effects, and are associated with increased CVD risk mainly through observational studies in families and small cohorts.
domains of the protein	Protein	(69, 91)	affect	Reg	(58, 64)	ThemeOf	RECENT FINDINGS: GOF variants are individually ultrarare, affect all domains of the protein, act to reduce LDL receptor expression through several mechanisms, are a minor cause of familial hypercholesterolemia, have been reported mainly within families, have variable LDL cholesterol-raising effects, and are associated with increased CVD risk mainly through observational studies in families and small cohorts.
variants	Var	(21, 29)	GOF	PosReg	(17, 20)	CauseOf	RECENT FINDINGS: GOF variants are individually ultrarare, affect all domains of the protein, act to reduce LDL receptor expression through several mechanisms, are a minor cause of familial hypercholesterolemia, have been reported mainly within families, have variable LDL cholesterol-raising effects, and are associated with increased CVD risk mainly through observational studies in families and small cohorts.
affect	Reg	(58, 64)	reduce	NegReg	(100, 106)	CauseOf	RECENT FINDINGS: GOF variants are individually ultrarare, affect all domains of the protein, act to reduce LDL receptor expression through several mechanisms, are a minor cause of familial hypercholesterolemia, have been reported mainly within families, have variable LDL cholesterol-raising effects, and are associated with increased CVD risk mainly through observational studies in families and small cohorts.
cardiovascular disease	Disease	(230, 252)	gain-of-function	PosReg	(133, 149)	NoRelation	PURPOSE OF REVIEW: There are many reports of human variants in proprotein convertase subtilisin-kexin type 9 (PCSK9) that are either gain-of-function (GOF) or loss-of-function (LOF), with downstream effects on LDL cholesterol and cardiovascular disease (CVD) risk.
LDL cholesterol	Disease	(210, 225)	loss-of-function	NegReg	(159, 175)	NoRelation	PURPOSE OF REVIEW: There are many reports of human variants in proprotein convertase subtilisin-kexin type 9 (PCSK9) that are either gain-of-function (GOF) or loss-of-function (LOF), with downstream effects on LDL cholesterol and cardiovascular disease (CVD) risk.
LDL cholesterol	Disease	(210, 225)	cardiovascular disease	Disease	(230, 252)	NoRelation	PURPOSE OF REVIEW: There are many reports of human variants in proprotein convertase subtilisin-kexin type 9 (PCSK9) that are either gain-of-function (GOF) or loss-of-function (LOF), with downstream effects on LDL cholesterol and cardiovascular disease (CVD) risk.
cardiovascular disease	Disease	(230, 252)	loss-of-function	NegReg	(159, 175)	NoRelation	PURPOSE OF REVIEW: There are many reports of human variants in proprotein convertase subtilisin-kexin type 9 (PCSK9) that are either gain-of-function (GOF) or loss-of-function (LOF), with downstream effects on LDL cholesterol and cardiovascular disease (CVD) risk.
LDL cholesterol	Disease	(210, 225)	gain-of-function	PosReg	(133, 149)	NoRelation	PURPOSE OF REVIEW: There are many reports of human variants in proprotein convertase subtilisin-kexin type 9 (PCSK9) that are either gain-of-function (GOF) or loss-of-function (LOF), with downstream effects on LDL cholesterol and cardiovascular disease (CVD) risk.
loss-of-function	NegReg	(159, 175)	effects	Reg	(199, 206)	NoRelation	PURPOSE OF REVIEW: There are many reports of human variants in proprotein convertase subtilisin-kexin type 9 (PCSK9) that are either gain-of-function (GOF) or loss-of-function (LOF), with downstream effects on LDL cholesterol and cardiovascular disease (CVD) risk.
LDL receptor	Protein	(107, 119)	variants	Var	(21, 29)	NoRelation	RECENT FINDINGS: GOF variants are individually ultrarare, affect all domains of the protein, act to reduce LDL receptor expression through several mechanisms, are a minor cause of familial hypercholesterolemia, have been reported mainly within families, have variable LDL cholesterol-raising effects, and are associated with increased CVD risk mainly through observational studies in families and small cohorts.
domains of the protein	Protein	(69, 91)	reduce	NegReg	(100, 106)	NoRelation	RECENT FINDINGS: GOF variants are individually ultrarare, affect all domains of the protein, act to reduce LDL receptor expression through several mechanisms, are a minor cause of familial hypercholesterolemia, have been reported mainly within families, have variable LDL cholesterol-raising effects, and are associated with increased CVD risk mainly through observational studies in families and small cohorts.
familial hypercholesterolemia	Disease	(180, 209)	affect	Reg	(58, 64)	NoRelation	RECENT FINDINGS: GOF variants are individually ultrarare, affect all domains of the protein, act to reduce LDL receptor expression through several mechanisms, are a minor cause of familial hypercholesterolemia, have been reported mainly within families, have variable LDL cholesterol-raising effects, and are associated with increased CVD risk mainly through observational studies in families and small cohorts.
expression	MPA	(120, 130)	cause	Reg	(171, 176)	NoRelation	RECENT FINDINGS: GOF variants are individually ultrarare, affect all domains of the protein, act to reduce LDL receptor expression through several mechanisms, are a minor cause of familial hypercholesterolemia, have been reported mainly within families, have variable LDL cholesterol-raising effects, and are associated with increased CVD risk mainly through observational studies in families and small cohorts.
variants	Var	(21, 29)	reduce	NegReg	(100, 106)	NoRelation	RECENT FINDINGS: GOF variants are individually ultrarare, affect all domains of the protein, act to reduce LDL receptor expression through several mechanisms, are a minor cause of familial hypercholesterolemia, have been reported mainly within families, have variable LDL cholesterol-raising effects, and are associated with increased CVD risk mainly through observational studies in families and small cohorts.
expression	MPA	(120, 130)	affect	Reg	(58, 64)	NoRelation	RECENT FINDINGS: GOF variants are individually ultrarare, affect all domains of the protein, act to reduce LDL receptor expression through several mechanisms, are a minor cause of familial hypercholesterolemia, have been reported mainly within families, have variable LDL cholesterol-raising effects, and are associated with increased CVD risk mainly through observational studies in families and small cohorts.
expression	MPA	(120, 130)	GOF	PosReg	(17, 20)	NoRelation	RECENT FINDINGS: GOF variants are individually ultrarare, affect all domains of the protein, act to reduce LDL receptor expression through several mechanisms, are a minor cause of familial hypercholesterolemia, have been reported mainly within families, have variable LDL cholesterol-raising effects, and are associated with increased CVD risk mainly through observational studies in families and small cohorts.
domains of the protein	Protein	(69, 91)	expression	MPA	(120, 130)	NoRelation	RECENT FINDINGS: GOF variants are individually ultrarare, affect all domains of the protein, act to reduce LDL receptor expression through several mechanisms, are a minor cause of familial hypercholesterolemia, have been reported mainly within families, have variable LDL cholesterol-raising effects, and are associated with increased CVD risk mainly through observational studies in families and small cohorts.
LDL receptor	Protein	(107, 119)	reduce	NegReg	(100, 106)	NoRelation	RECENT FINDINGS: GOF variants are individually ultrarare, affect all domains of the protein, act to reduce LDL receptor expression through several mechanisms, are a minor cause of familial hypercholesterolemia, have been reported mainly within families, have variable LDL cholesterol-raising effects, and are associated with increased CVD risk mainly through observational studies in families and small cohorts.
domains of the protein	Protein	(69, 91)	variants	Var	(21, 29)	NoRelation	RECENT FINDINGS: GOF variants are individually ultrarare, affect all domains of the protein, act to reduce LDL receptor expression through several mechanisms, are a minor cause of familial hypercholesterolemia, have been reported mainly within families, have variable LDL cholesterol-raising effects, and are associated with increased CVD risk mainly through observational studies in families and small cohorts.
familial hypercholesterolemia	Disease	(180, 209)	reduce	NegReg	(100, 106)	NoRelation	RECENT FINDINGS: GOF variants are individually ultrarare, affect all domains of the protein, act to reduce LDL receptor expression through several mechanisms, are a minor cause of familial hypercholesterolemia, have been reported mainly within families, have variable LDL cholesterol-raising effects, and are associated with increased CVD risk mainly through observational studies in families and small cohorts.
familial hypercholesterolemia	Disease	(180, 209)	GOF	PosReg	(17, 20)	NoRelation	RECENT FINDINGS: GOF variants are individually ultrarare, affect all domains of the protein, act to reduce LDL receptor expression through several mechanisms, are a minor cause of familial hypercholesterolemia, have been reported mainly within families, have variable LDL cholesterol-raising effects, and are associated with increased CVD risk mainly through observational studies in families and small cohorts.
reduce	NegReg	(100, 106)	cause	Reg	(171, 176)	NoRelation	RECENT FINDINGS: GOF variants are individually ultrarare, affect all domains of the protein, act to reduce LDL receptor expression through several mechanisms, are a minor cause of familial hypercholesterolemia, have been reported mainly within families, have variable LDL cholesterol-raising effects, and are associated with increased CVD risk mainly through observational studies in families and small cohorts.
LDL receptor	Protein	(172, 184)	variants	Var	(17, 25)	NoRelation	In contrast, LOF variants can be either ultrarare mutations or relatively more common polymorphisms seen in populations, affect all domains of the protein, act to increase LDL receptor expression through several mechanisms, have variable LDL cholesterol-lowering effects, and have been associated with decreased CVD risk mainly through Mendelian randomization studies in epidemiologic populations.
domains of the protein	Protein	(132, 154)	LDL cholesterol	MPA	(238, 253)	NoRelation	In contrast, LOF variants can be either ultrarare mutations or relatively more common polymorphisms seen in populations, affect all domains of the protein, act to increase LDL receptor expression through several mechanisms, have variable LDL cholesterol-lowering effects, and have been associated with decreased CVD risk mainly through Mendelian randomization studies in epidemiologic populations.
domains of the protein	Protein	(132, 154)	lowering	NegReg	(254, 262)	NoRelation	In contrast, LOF variants can be either ultrarare mutations or relatively more common polymorphisms seen in populations, affect all domains of the protein, act to increase LDL receptor expression through several mechanisms, have variable LDL cholesterol-lowering effects, and have been associated with decreased CVD risk mainly through Mendelian randomization studies in epidemiologic populations.
LDL cholesterol	MPA	(238, 253)	increase	PosReg	(163, 171)	NoRelation	In contrast, LOF variants can be either ultrarare mutations or relatively more common polymorphisms seen in populations, affect all domains of the protein, act to increase LDL receptor expression through several mechanisms, have variable LDL cholesterol-lowering effects, and have been associated with decreased CVD risk mainly through Mendelian randomization studies in epidemiologic populations.
domains of the protein	Protein	(132, 154)	decreased	NegReg	(302, 311)	NoRelation	In contrast, LOF variants can be either ultrarare mutations or relatively more common polymorphisms seen in populations, affect all domains of the protein, act to increase LDL receptor expression through several mechanisms, have variable LDL cholesterol-lowering effects, and have been associated with decreased CVD risk mainly through Mendelian randomization studies in epidemiologic populations.
decreased	NegReg	(302, 311)	lowering	NegReg	(254, 262)	NoRelation	In contrast, LOF variants can be either ultrarare mutations or relatively more common polymorphisms seen in populations, affect all domains of the protein, act to increase LDL receptor expression through several mechanisms, have variable LDL cholesterol-lowering effects, and have been associated with decreased CVD risk mainly through Mendelian randomization studies in epidemiologic populations.
CVD	Disease	(312, 315)	increase	PosReg	(163, 171)	NoRelation	In contrast, LOF variants can be either ultrarare mutations or relatively more common polymorphisms seen in populations, affect all domains of the protein, act to increase LDL receptor expression through several mechanisms, have variable LDL cholesterol-lowering effects, and have been associated with decreased CVD risk mainly through Mendelian randomization studies in epidemiologic populations.
decreased	NegReg	(302, 311)	affect	Reg	(121, 127)	NoRelation	In contrast, LOF variants can be either ultrarare mutations or relatively more common polymorphisms seen in populations, affect all domains of the protein, act to increase LDL receptor expression through several mechanisms, have variable LDL cholesterol-lowering effects, and have been associated with decreased CVD risk mainly through Mendelian randomization studies in epidemiologic populations.
LDL cholesterol	MPA	(238, 253)	decreased	NegReg	(302, 311)	NoRelation	In contrast, LOF variants can be either ultrarare mutations or relatively more common polymorphisms seen in populations, affect all domains of the protein, act to increase LDL receptor expression through several mechanisms, have variable LDL cholesterol-lowering effects, and have been associated with decreased CVD risk mainly through Mendelian randomization studies in epidemiologic populations.
domains of the protein	Protein	(132, 154)	LOF	NegReg	(13, 16)	NoRelation	In contrast, LOF variants can be either ultrarare mutations or relatively more common polymorphisms seen in populations, affect all domains of the protein, act to increase LDL receptor expression through several mechanisms, have variable LDL cholesterol-lowering effects, and have been associated with decreased CVD risk mainly through Mendelian randomization studies in epidemiologic populations.
lowering	NegReg	(254, 262)	affect	Reg	(121, 127)	NoRelation	In contrast, LOF variants can be either ultrarare mutations or relatively more common polymorphisms seen in populations, affect all domains of the protein, act to increase LDL receptor expression through several mechanisms, have variable LDL cholesterol-lowering effects, and have been associated with decreased CVD risk mainly through Mendelian randomization studies in epidemiologic populations.
LOF	NegReg	(13, 16)	affect	Reg	(121, 127)	NoRelation	In contrast, LOF variants can be either ultrarare mutations or relatively more common polymorphisms seen in populations, affect all domains of the protein, act to increase LDL receptor expression through several mechanisms, have variable LDL cholesterol-lowering effects, and have been associated with decreased CVD risk mainly through Mendelian randomization studies in epidemiologic populations.
variants	Var	(17, 25)	increase	PosReg	(163, 171)	NoRelation	In contrast, LOF variants can be either ultrarare mutations or relatively more common polymorphisms seen in populations, affect all domains of the protein, act to increase LDL receptor expression through several mechanisms, have variable LDL cholesterol-lowering effects, and have been associated with decreased CVD risk mainly through Mendelian randomization studies in epidemiologic populations.
CVD	Disease	(312, 315)	affect	Reg	(121, 127)	NoRelation	In contrast, LOF variants can be either ultrarare mutations or relatively more common polymorphisms seen in populations, affect all domains of the protein, act to increase LDL receptor expression through several mechanisms, have variable LDL cholesterol-lowering effects, and have been associated with decreased CVD risk mainly through Mendelian randomization studies in epidemiologic populations.
LOF	NegReg	(13, 16)	lowering	NegReg	(254, 262)	NoRelation	In contrast, LOF variants can be either ultrarare mutations or relatively more common polymorphisms seen in populations, affect all domains of the protein, act to increase LDL receptor expression through several mechanisms, have variable LDL cholesterol-lowering effects, and have been associated with decreased CVD risk mainly through Mendelian randomization studies in epidemiologic populations.
LDL cholesterol	MPA	(238, 253)	affect	Reg	(121, 127)	NoRelation	In contrast, LOF variants can be either ultrarare mutations or relatively more common polymorphisms seen in populations, affect all domains of the protein, act to increase LDL receptor expression through several mechanisms, have variable LDL cholesterol-lowering effects, and have been associated with decreased CVD risk mainly through Mendelian randomization studies in epidemiologic populations.
expression	MPA	(185, 195)	LOF	NegReg	(13, 16)	NoRelation	In contrast, LOF variants can be either ultrarare mutations or relatively more common polymorphisms seen in populations, affect all domains of the protein, act to increase LDL receptor expression through several mechanisms, have variable LDL cholesterol-lowering effects, and have been associated with decreased CVD risk mainly through Mendelian randomization studies in epidemiologic populations.
LDL receptor	Protein	(172, 184)	decreased	NegReg	(302, 311)	NoRelation	In contrast, LOF variants can be either ultrarare mutations or relatively more common polymorphisms seen in populations, affect all domains of the protein, act to increase LDL receptor expression through several mechanisms, have variable LDL cholesterol-lowering effects, and have been associated with decreased CVD risk mainly through Mendelian randomization studies in epidemiologic populations.
LOF	NegReg	(13, 16)	decreased	NegReg	(302, 311)	NoRelation	In contrast, LOF variants can be either ultrarare mutations or relatively more common polymorphisms seen in populations, affect all domains of the protein, act to increase LDL receptor expression through several mechanisms, have variable LDL cholesterol-lowering effects, and have been associated with decreased CVD risk mainly through Mendelian randomization studies in epidemiologic populations.
domains of the protein	Protein	(132, 154)	variants	Var	(17, 25)	NoRelation	In contrast, LOF variants can be either ultrarare mutations or relatively more common polymorphisms seen in populations, affect all domains of the protein, act to increase LDL receptor expression through several mechanisms, have variable LDL cholesterol-lowering effects, and have been associated with decreased CVD risk mainly through Mendelian randomization studies in epidemiologic populations.
expression	MPA	(185, 195)	decreased	NegReg	(302, 311)	NoRelation	In contrast, LOF variants can be either ultrarare mutations or relatively more common polymorphisms seen in populations, affect all domains of the protein, act to increase LDL receptor expression through several mechanisms, have variable LDL cholesterol-lowering effects, and have been associated with decreased CVD risk mainly through Mendelian randomization studies in epidemiologic populations.
domains of the protein	Protein	(132, 154)	expression	MPA	(185, 195)	NoRelation	In contrast, LOF variants can be either ultrarare mutations or relatively more common polymorphisms seen in populations, affect all domains of the protein, act to increase LDL receptor expression through several mechanisms, have variable LDL cholesterol-lowering effects, and have been associated with decreased CVD risk mainly through Mendelian randomization studies in epidemiologic populations.
LDL receptor	Protein	(172, 184)	LDL cholesterol	MPA	(238, 253)	NoRelation	In contrast, LOF variants can be either ultrarare mutations or relatively more common polymorphisms seen in populations, affect all domains of the protein, act to increase LDL receptor expression through several mechanisms, have variable LDL cholesterol-lowering effects, and have been associated with decreased CVD risk mainly through Mendelian randomization studies in epidemiologic populations.
expression	MPA	(185, 195)	affect	Reg	(121, 127)	NoRelation	In contrast, LOF variants can be either ultrarare mutations or relatively more common polymorphisms seen in populations, affect all domains of the protein, act to increase LDL receptor expression through several mechanisms, have variable LDL cholesterol-lowering effects, and have been associated with decreased CVD risk mainly through Mendelian randomization studies in epidemiologic populations.
LDL cholesterol	MPA	(238, 253)	LOF	NegReg	(13, 16)	NoRelation	In contrast, LOF variants can be either ultrarare mutations or relatively more common polymorphisms seen in populations, affect all domains of the protein, act to increase LDL receptor expression through several mechanisms, have variable LDL cholesterol-lowering effects, and have been associated with decreased CVD risk mainly through Mendelian randomization studies in epidemiologic populations.
CVD	Disease	(312, 315)	lowering	NegReg	(254, 262)	NoRelation	In contrast, LOF variants can be either ultrarare mutations or relatively more common polymorphisms seen in populations, affect all domains of the protein, act to increase LDL receptor expression through several mechanisms, have variable LDL cholesterol-lowering effects, and have been associated with decreased CVD risk mainly through Mendelian randomization studies in epidemiologic populations.
CVD	Disease	(312, 315)	LOF	NegReg	(13, 16)	NoRelation	In contrast, LOF variants can be either ultrarare mutations or relatively more common polymorphisms seen in populations, affect all domains of the protein, act to increase LDL receptor expression through several mechanisms, have variable LDL cholesterol-lowering effects, and have been associated with decreased CVD risk mainly through Mendelian randomization studies in epidemiologic populations.
expression	MPA	(185, 195)	lowering	NegReg	(254, 262)	NoRelation	In contrast, LOF variants can be either ultrarare mutations or relatively more common polymorphisms seen in populations, affect all domains of the protein, act to increase LDL receptor expression through several mechanisms, have variable LDL cholesterol-lowering effects, and have been associated with decreased CVD risk mainly through Mendelian randomization studies in epidemiologic populations.
DAT	Gene	(8, 11)	mutant	Var	(29, 35)	ThemeOf	Loss of DAT functionality in mutant rats not only elevated subcortical extracellular dopamine concentration but also altered the balance of monoaminergic transmission.
mutant	Var	(29, 35)	elevated	PosReg	(50, 58)	CauseOf	Loss of DAT functionality in mutant rats not only elevated subcortical extracellular dopamine concentration but also altered the balance of monoaminergic transmission.
subcortical extracellular dopamine concentration	MPA	(59, 107)	elevated	PosReg	(50, 58)	ThemeOf	Loss of DAT functionality in mutant rats not only elevated subcortical extracellular dopamine concentration but also altered the balance of monoaminergic transmission.
mutant	Var	(29, 35)	altered	Reg	(117, 124)	CauseOf	Loss of DAT functionality in mutant rats not only elevated subcortical extracellular dopamine concentration but also altered the balance of monoaminergic transmission.
balance of monoaminergic transmission	MPA	(129, 166)	altered	Reg	(117, 124)	ThemeOf	Loss of DAT functionality in mutant rats not only elevated subcortical extracellular dopamine concentration but also altered the balance of monoaminergic transmission.
DAT	Gene	(8, 11)	Loss	NegReg	(0, 4)	CauseOf	Loss of DAT functionality in mutant rats not only elevated subcortical extracellular dopamine concentration but also altered the balance of monoaminergic transmission.
subcortical extracellular dopamine concentration	MPA	(59, 107)	altered	Reg	(117, 124)	NoRelation	Loss of DAT functionality in mutant rats not only elevated subcortical extracellular dopamine concentration but also altered the balance of monoaminergic transmission.
subcortical extracellular dopamine concentration	MPA	(59, 107)	Loss	NegReg	(0, 4)	NoRelation	Loss of DAT functionality in mutant rats not only elevated subcortical extracellular dopamine concentration but also altered the balance of monoaminergic transmission.
balance of monoaminergic transmission	MPA	(129, 166)	Loss	NegReg	(0, 4)	NoRelation	Loss of DAT functionality in mutant rats not only elevated subcortical extracellular dopamine concentration but also altered the balance of monoaminergic transmission.
mutant	Var	(29, 35)	Loss	NegReg	(0, 4)	NoRelation	Loss of DAT functionality in mutant rats not only elevated subcortical extracellular dopamine concentration but also altered the balance of monoaminergic transmission.
balance of monoaminergic transmission	MPA	(129, 166)	elevated	PosReg	(50, 58)	NoRelation	Loss of DAT functionality in mutant rats not only elevated subcortical extracellular dopamine concentration but also altered the balance of monoaminergic transmission.
mutations	Var	(96, 105)	caused	Reg	(75, 81)	CauseOf	Activated PI3K Delta Syndrome (APDS) is a primary immunodeficiency disease caused by activating mutations in either the leukocyte-restricted p110δ catalytic (PIK3CD) subunit or the ubiquitously expressed p85α regulatory (PIK3R1) subunit of class IA phosphoinositide 3-kinases (PI3Ks).
Activated PI3K Delta Syndrome	Disease	(0, 29)	caused	Reg	(75, 81)	ThemeOf	Activated PI3K Delta Syndrome (APDS) is a primary immunodeficiency disease caused by activating mutations in either the leukocyte-restricted p110δ catalytic (PIK3CD) subunit or the ubiquitously expressed p85α regulatory (PIK3R1) subunit of class IA phosphoinositide 3-kinases (PI3Ks).
PIK3CD	Gene	(158, 164)	mutations	Var	(96, 105)	ThemeOf	Activated PI3K Delta Syndrome (APDS) is a primary immunodeficiency disease caused by activating mutations in either the leukocyte-restricted p110δ catalytic (PIK3CD) subunit or the ubiquitously expressed p85α regulatory (PIK3R1) subunit of class IA phosphoinositide 3-kinases (PI3Ks).
APDS2	Gene	(30, 35)	mutation	Var	(36, 44)	ThemeOf	Intriguingly, we find that an APDS2 mutation in p85α leads to substantial basal activation of p110δ (>300-fold) and disrupts inhibitory interactions from the nSH2, iSH2, and cSH2 domains of p85, whereas p110α is only minimally basally activated (∼2-fold) when associated with mutated p85α.
mutation	Var	(36, 44)	activation	PosReg	(80, 90)	CauseOf	Intriguingly, we find that an APDS2 mutation in p85α leads to substantial basal activation of p110δ (>300-fold) and disrupts inhibitory interactions from the nSH2, iSH2, and cSH2 domains of p85, whereas p110α is only minimally basally activated (∼2-fold) when associated with mutated p85α.
p110δ (>300-fold)	MPA	(94, 111)	activation	PosReg	(80, 90)	ThemeOf	Intriguingly, we find that an APDS2 mutation in p85α leads to substantial basal activation of p110δ (>300-fold) and disrupts inhibitory interactions from the nSH2, iSH2, and cSH2 domains of p85, whereas p110α is only minimally basally activated (∼2-fold) when associated with mutated p85α.
mutation	Var	(36, 44)	disrupts	NegReg	(116, 124)	CauseOf	Intriguingly, we find that an APDS2 mutation in p85α leads to substantial basal activation of p110δ (>300-fold) and disrupts inhibitory interactions from the nSH2, iSH2, and cSH2 domains of p85, whereas p110α is only minimally basally activated (∼2-fold) when associated with mutated p85α.
inhibitory interactions	MPA	(125, 148)	disrupts	NegReg	(116, 124)	ThemeOf	Intriguingly, we find that an APDS2 mutation in p85α leads to substantial basal activation of p110δ (>300-fold) and disrupts inhibitory interactions from the nSH2, iSH2, and cSH2 domains of p85, whereas p110α is only minimally basally activated (∼2-fold) when associated with mutated p85α.
inhibitory interactions	MPA	(125, 148)	activation	PosReg	(80, 90)	NoRelation	Intriguingly, we find that an APDS2 mutation in p85α leads to substantial basal activation of p110δ (>300-fold) and disrupts inhibitory interactions from the nSH2, iSH2, and cSH2 domains of p85, whereas p110α is only minimally basally activated (∼2-fold) when associated with mutated p85α.
p110δ (>300-fold)	MPA	(94, 111)	disrupts	NegReg	(116, 124)	NoRelation	Intriguingly, we find that an APDS2 mutation in p85α leads to substantial basal activation of p110δ (>300-fold) and disrupts inhibitory interactions from the nSH2, iSH2, and cSH2 domains of p85, whereas p110α is only minimally basally activated (∼2-fold) when associated with mutated p85α.
Cdh2	Gene	(35, 39)	deletion	Var	(40, 48)	ThemeOf	Embryonic conditional osteolineage Cdh2 deletion in mice results in defective growth, low bone mass, and reduced osteoprogenitor number.
